n,gamma,a1_re,a1_im
401,523.120986253099,1.99758685e+00,1.41541620e+01
402,524.602934326172,-1.53911016e+01,1.47378294e+01
403,525.360948828423,2.86030231e+00,2.43890701e+01
404,526.404135942231,-6.33640169e-02,2.18978908e+01
405,527.200666147476,1.19401118e+01,1.42940704e+01
406,528.755645244318,-1.02970231e+01,1.69704466e+01
407,529.579467899654,7.14757750e+00,2.01290079e+01
408,530.842335853778,-1.52522744e+00,1.52560848e+01
409,532.055495939794,-1.49957977e+01,1.69953930e+01
410,532.815358474646,2.30594505e+00,3.35200265e+01
411,533.508383228707,2.17258785e+01,8.63126105e+00
412,535.330957786315,-1.02884052e+01,1.22246261e+01
413,536.335200439569,-9.10560830e+00,2.19897722e+01
414,537.227107044987,1.20222334e+00,2.52334915e+01
415,538.026826770333,1.17160208e+01,1.51489215e+01
416,539.450819996046,-8.32177065e+00,1.91055243e+01
417,540.220384197939,1.14884950e+01,1.68414595e+01
418,541.907599138114,-2.14885907e+01,1.52226179e+01
419,542.462563061115,1.42813869e+01,2.33423978e+01
